位置,面积,朝向,格局,楼层
普陀-甘泉宜川-子长小区,35㎡,南,1室1厅1卫,高楼层（6层）,3750元/月
徐汇-华泾-沙家浜小区,65㎡,南,2室1厅1卫,高楼层（6层）,3700元/月
黄浦-蓬莱公园-海潮新村,33㎡,南,1室0厅1卫,高楼层（6层）,5190元/月
长宁-镇宁路-昭化东路73号,30㎡,东南 南,1室1厅1卫,高楼层（6层）,5000元/月
黄浦-世博滨江-中山南一路246弄,29㎡,南,1室1厅1卫,中楼层（5层）,4850元/月
黄浦-董家渡-复兴东路404弄,21㎡,南,1室1厅1卫,低楼层（3层）,4800元/月
徐汇-康健-花苑村紫竹园,44㎡,南,1室1厅1卫,高楼层（6层）,4000元/月
徐汇-龙华-俞三小区,41㎡,南,1室1厅1卫,中楼层（6层）,4250元/月
黄浦-五里桥-斜土路520-540号,32㎡,北,1室1厅1卫,中楼层（6层）,4750元/月
徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层（6层）,3550元/月
徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层（6层）,4100元/月
徐汇-上海南站-光华园,62㎡,南,2室1厅1卫,低楼层（6层）,5500元/月
徐汇-康健-长青坊,31㎡,南,1室0厅1卫,高楼层（6层）,3800元/月
黄浦-蓬莱公园-瞿溪路463弄,29㎡,南,1室1厅1卫,高楼层（5层）,4200元/月
徐汇-上海南站-汇成四村,50㎡,南,2室0厅1卫,高楼层（6层）,4200元/月
徐汇-华东理工-凌云新村,40㎡,南,1室0厅1卫,高楼层（6层）,4100元/月
黄浦-新天地-普庆里,14㎡,北,1室0厅1卫,低楼层（3层）,3800元/月
徐汇-康健-康乐小区(徐汇),38㎡,南,1室0厅1卫,中楼层（5层）,3800元/月
黄浦-董家渡-陆家浜路413弄,30㎡,南 北,1室1厅1卫,中楼层（6层）,4500元/月
浦东-川沙-东都小区,39㎡,南,1室1厅1卫,中楼层（5层）,3450元/月
徐汇-徐家汇-南丹小区,38㎡,南,1室1厅1卫,中楼层（7层）,4800元/月
普陀-真光-清涧八街坊,62㎡,东 南,2室1厅1卫,高楼层（6层）,4200元/月
松江-新桥-海派青城,44㎡,东,1室1厅1卫,中楼层（8层）,1950元/月
闵行-吴泾-新华小区（龙吴路5599弄）,61㎡,南 北,1室1厅1卫,高楼层（6层）,2700元/月
青浦-夏阳-仁恒运杰河滨花园,86㎡,南,3室1厅1卫,低楼层（18层）,3500元/月
徐汇-华东理工-梅陇十村,74㎡,南,2室2厅1卫,高楼层（6层）,5200元/月
徐汇-长桥-罗秀二村,59㎡,南,2室1厅1卫,高楼层（6层）,4550元/月
徐汇-植物园-百龙小区,85㎡,南,2室1厅1卫,低楼层（15层）,5500元/月
长宁-西郊-绿园四村,89㎡,南,2室2厅1卫,中楼层（6层）,6600元/月
徐汇-华泾-东湾小区,82㎡,南 北,2室1厅1卫,高楼层（6层）,4500元/月
普陀-甘泉宜川-子长小区,35㎡,南,1室1厅1卫,高楼层（6层）,3750元/月
徐汇-华泾-沙家浜小区,65㎡,南,2室1厅1卫,高楼层（6层）,3700元/月
黄浦-蓬莱公园-海潮新村,33㎡,南,1室0厅1卫,高楼层（6层）,5190元/月
长宁-镇宁路-昭化东路73号,30㎡,东南 南,1室1厅1卫,高楼层（6层）,5000元/月
黄浦-世博滨江-中山南一路246弄,29㎡,南,1室1厅1卫,中楼层（5层）,4850元/月
黄浦-董家渡-复兴东路404弄,21㎡,南,1室1厅1卫,低楼层（3层）,4800元/月
徐汇-康健-花苑村紫竹园,44㎡,南,1室1厅1卫,高楼层（6层）,4000元/月
徐汇-龙华-俞三小区,41㎡,南,1室1厅1卫,中楼层（6层）,4250元/月
黄浦-五里桥-斜土路520-540号,32㎡,北,1室1厅1卫,中楼层（6层）,4750元/月
徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层（6层）,3550元/月
徐汇-华东理工-梅陇九村,45㎡,南,1室1厅1卫,高楼层（6层）,4100元/月
徐汇-上海南站-光华园,62㎡,南,2室1厅1卫,低楼层（6层）,5500元/月
徐汇-康健-长青坊,31㎡,南,1室0厅1卫,高楼层（6层）,3800元/月
黄浦-蓬莱公园-瞿溪路463弄,29㎡,南,1室1厅1卫,高楼层（5层）,4200元/月
徐汇-上海南站-汇成四村,50㎡,南,2室0厅1卫,高楼层（6层）,4200元/月
徐汇-华东理工-凌云新村,40㎡,南,1室0厅1卫,高楼层（6层）,4100元/月
黄浦-新天地-普庆里,14㎡,北,1室0厅1卫,低楼层（3层）,3800元/月
徐汇-康健-康乐小区(徐汇),38㎡,南,1室0厅1卫,中楼层（5层）,3800元/月
黄浦-董家渡-陆家浜路413弄,30㎡,南 北,1室1厅1卫,中楼层（6层）,4500元/月
浦东-川沙-东都小区,39㎡,南,1室1厅1卫,中楼层（5层）,3450元/月
徐汇-徐家汇-南丹小区,38㎡,南,1室1厅1卫,中楼层（7层）,4800元/月
普陀-真光-清涧八街坊,62㎡,东 南,2室1厅1卫,高楼层（6层）,4200元/月
松江-新桥-海派青城,44㎡,东,1室1厅1卫,中楼层（8层）,1950元/月
闵行-吴泾-新华小区（龙吴路5599弄）,61㎡,南 北,1室1厅1卫,高楼层（6层）,2700元/月
青浦-夏阳-仁恒运杰河滨花园,86㎡,南,3室1厅1卫,低楼层（18层）,3500元/月
徐汇-华东理工-梅陇十村,74㎡,南,2室2厅1卫,高楼层（6层）,5200元/月
徐汇-长桥-罗秀二村,59㎡,南,2室1厅1卫,高楼层（6层）,4550元/月
徐汇-植物园-百龙小区,85㎡,南,2室1厅1卫,低楼层（15层）,5500元/月
长宁-西郊-绿园四村,89㎡,南,2室2厅1卫,中楼层（6层）,6600元/月
徐汇-华泾-东湾小区,82㎡,南 北,2室1厅1卫,高楼层（6层）,4500元/月
徐汇-斜土路-茶陵路65弄,29㎡,南,1室0厅1卫,中楼层（5层）,4800元/月
长宁-新华路-番禺大厦,44㎡,南,1室1厅1卫,低楼层（29层）,5950元/月
黄浦-新天地-万宜坊,52㎡,南,1室1厅1卫,低楼层（3层）,8100元/月
黄浦-新天地-花园公寓(卢湾),42㎡,南,1室1厅1卫,中楼层（6层）,7000元/月
长宁-虹桥-虹旭小区,53㎡,南,2室1厅1卫,高楼层（6层）,6400元/月
徐汇-华东理工-梅陇八村,73㎡,南,2室1厅1卫,中楼层（18层）,5800元/月
青浦-盈浦-景港名人苑,90㎡,南,3室2厅1卫,高楼层（6层）,3500元/月
徐汇-康健-长丰坊,52㎡,南,2室1厅1卫,低楼层（6层）,4800元/月
黄浦-五里桥-怡绿公寓,87㎡,南,2室2厅1卫,中楼层（7层）,8450元/月
徐汇-田林-田林三村,33㎡,南,1室1厅1卫,中楼层（6层）,4600元/月
黄浦-五里桥-桥一小区,47㎡,南,2室1厅1卫,高楼层（7层）,6650元/月
长宁-北新泾-新泾五村,57㎡,南,1室1厅1卫,中楼层（14层）,5500元/月
徐汇-康健-康健路100弄,38㎡,南,1室1厅1卫,中楼层（4层）,4400元/月
黄浦-蓬莱公园-中福浦江汇,51㎡,南,1室1厅1卫,高楼层（24层）,7990元/月
徐汇-康健-寿昌坊,39㎡,南,1室1厅1卫,中楼层（6层）,4200元/月
浦东-川沙-河滨小区,44㎡,南,1室1厅1卫,低楼层（6层）,3450元/月
长宁-中山公园-清宁小区,49㎡,南,2室1厅1卫,高楼层（6层）,6100元/月
闵行-老闵行-红旗三村,43㎡,南,1室1厅1卫,高楼层（6层）,2900元/月
黄浦-淮海中路-南昌路151弄,28㎡,南,1室1厅1卫,中楼层（5层）,5900元/月
黄浦-五里桥-百汇大厦,80㎡,南,2室1厅1卫,中楼层（23层）,9500元/月
黄浦-五里桥-蒙自路395弄,39㎡,南,1室1厅1卫,高楼层（7层）,5800元/月
徐汇-康健-钦州路111弄,35㎡,南,2室1厅1卫,低楼层（7层）,5000元/月
长宁-仙霞-虹古大楼,75㎡,南,2室1厅1卫,低楼层（24层）,6300元/月
长宁-仙霞-虹古大楼,74㎡,南,2室1厅1卫,低楼层（24层）,6200元/月
长宁-北新泾-淞虹苑,74㎡,南,2室1厅1卫,高楼层（6层）,7500元/月
长宁-西郊-金虹苑小区,65㎡,南,2室1厅1卫,高楼层（6层）,6800元/月
徐汇-徐家汇-南宜花苑,38㎡,南,1室1厅1卫,中楼层（7层）,4800元/月
徐汇-植物园-罗秀三村,52㎡,南,2室1厅1卫,中楼层（6层）,4600元/月
闵行-吴泾-新华小区（龙吴路5599弄）,52㎡,南,1室1厅1卫,高楼层（6层）,2800元/月
徐汇-斜土路-日晖一村,41㎡,南,1室1厅1卫,中楼层（5层）,5200元/月
